SIL nonword
SIL_B begin
SIL_E end
SIL_I internal
SIL_S singleton
@@_B begin
@@_E end
@@_I internal
@@_S singleton
UNK_B begin
UNK_E end
UNK_I internal
UNK_S singleton
aa_B begin
aa_E end
aa_I internal
aa_S singleton
b_B begin
b_E end
b_I internal
b_S singleton
c_B begin
c_E end
c_I internal
c_S singleton
e_B begin
e_E end
e_I internal
e_S singleton
h_B begin
h_E end
h_I internal
h_S singleton
ii_B begin
ii_E end
ii_I internal
ii_S singleton
j^_B begin
j^_E end
j^_I internal
j^_S singleton
k_B begin
k_E end
k_I internal
k_S singleton
k^_B begin
k^_E end
k^_I internal
k^_S singleton
kh_B begin
kh_E end
kh_I internal
kh_S singleton
khw_B begin
khw_E end
khw_I internal
khw_S singleton
kl_B begin
kl_E end
kl_I internal
kl_S singleton
l_B begin
l_E end
l_I internal
l_S singleton
m^_B begin
m^_E end
m^_I internal
m^_S singleton
n_B begin
n_E end
n_I internal
n_S singleton
n^_B begin
n^_E end
n^_I internal
n^_S singleton
ng^_B begin
ng^_E end
ng^_I internal
ng^_S singleton
o_B begin
o_E end
o_I internal
o_S singleton
oo_B begin
oo_E end
oo_I internal
oo_S singleton
qq_B begin
qq_E end
qq_I internal
qq_S singleton
r_B begin
r_E end
r_I internal
r_S singleton
s_B begin
s_E end
s_I internal
s_S singleton
t_B begin
t_E end
t_I internal
t_S singleton
th_B begin
th_E end
th_I internal
th_S singleton
uu_B begin
uu_E end
uu_I internal
uu_S singleton
uua_B begin
uua_E end
uua_I internal
uua_S singleton
v_B begin
v_E end
v_I internal
v_S singleton
vva_B begin
vva_E end
vva_I internal
vva_S singleton
w_B begin
w_E end
w_I internal
w_S singleton
xx_B begin
xx_E end
xx_I internal
xx_S singleton
